data,amount
2017/5/4,-6548.44
2017/3/29,-3033.96
2017/3/23,-0.21
2017/3/21,0.21
2017/3/16,-0.1
2017/3/14,-475.65
2017/3/13,5000
2017/2/17,-0.1
2017/2/14,-1933.41
2017/2/14,10000
2017/2/9,-0.1
2017/1/16,-325.86
2017/1/16,2500
2016/11/21,-1.65
2015/12/21,0.09
2015/12/16,-1214.05
2015/12/15,-500
2015/11/12,-1766.73
2015/10/15,-1368.49
2015/9/21,0.66
2015/9/21,-878.8
2015/9/21,5000
2015/9/16,-1405.59
2015/8/18,-2985.04
2015/6/23,0.45
2015/6/19,-1200
2015/6/15,-1400
2015/4/21,300
2015/4/20,1000
2015/3/30,-900
2015/3/26,1500
2015/3/23,2.19
2015/1/8,-5000
2014/12/22,0.68
2014/9/22,0.35
2014/9/15,-4324.46
2014/9/12,10000
2014/8/25,-10
2014/8/25,10
